topic_id	topic_text	topic_url	query_id	query_text	abstract_url
G01	Digital assistants like Siri and Alexa entrench gender biases says UN	https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says	G01.1	Digital assistant	https://guacamole.univ-avignon.fr/dblp1/_search?q="Digital assistant"
G01	Digital assistants like Siri and Alexa entrench gender biases says UN	https://www.theguardian.com/technology/2019/may/22/digital-voice-assistants-siri-alexa-gender-biases-unesco-says	G01.2	Biases	https://guacamole.univ-avignon.fr/dblp1/_search?q=biases
G02	Apple contractors 'regularly hear confidential details' on Siri recordings	https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings	G02.1	Confidential	https://guacamole.univ-avignon.fr/dblp1/_search?q=confidential
G02	Apple contractors 'regularly hear confidential details' on Siri recordings	https://www.theguardian.com/technology/2019/jul/26/apple-contractors-regularly-hear-confidential-details-on-siri-recordings	G02.2	Privacy	https://guacamole.univ-avignon.fr/dblp1/_search?q=privacy
G03	Alexa Siri... Elsa? Children drive boom in smart speakers	https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers	G03.1	smart speaker	https://guacamole.univ-avignon.fr/dblp1/_search?q="smart speaker"
G03	Alexa Siri... Elsa? Children drive boom in smart speakers	https://www.theguardian.com/technology/2020/oct/18/alexa-siri-elsa-children-drive-boom-in-smart-speakers	G03.2	surveillance	https://guacamole.univ-avignon.fr/dblp1/_search?q=surveillance
G04	Drug companies look to AI to end 'hit and miss' research	https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research	G04.1	drug discovery	https://guacamole.univ-avignon.fr/dblp1/_search?q="drug discovery"
G04	Drug companies look to AI to end 'hit and miss' research	https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research	G04.2	functional genomics	https://guacamole.univ-avignon.fr/dblp1/_search?q="Functional genomics"
G04	Drug companies look to AI to end 'hit and miss' research	https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research	G04.3	infectious diseases	https://guacamole.univ-avignon.fr/dblp1/_search?q="infectious diseases"
G05	After the Nobel what next for Crispr gene-editing therapies?	https://www.theguardian.com/science/2021/feb/21/after-the-nobel-what-next-for-crispr-gene-editing-therapies	G05.1	gene editing	https://guacamole.univ-avignon.fr/dblp1/_search?q="gene editing"
G05	After the Nobel what next for Crispr gene-editing therapies?	https://www.theguardian.com/science/2021/feb/21/after-the-nobel-what-next-for-crispr-gene-editing-therapies	G05.2	crispr	https://guacamole.univ-avignon.fr/dblp1/_search?q=Crispr
G06	Elon Musk: regulate AI to combat 'existential threat' before it's too late	https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo	G06.1	ubiquity	https://guacamole.univ-avignon.fr/dblp1/_search?q=ubiquity
G06	Elon Musk: regulate AI to combat 'existential threat' before it's too late	https://www.theguardian.com/technology/2017/jul/17/elon-musk-regulation-ai-combat-existential-threat-tesla-spacex-ceo	G06.2	self driving	https://guacamole.univ-avignon.fr/dblp1/_search?q="self driving"
G07	Misinformation runs rampant as Facebook says it may take a week before it unblocks some pages	https://www.theguardian.com/technology/2021/feb/19/misinformation-runs-rampant-as-facebook-says-it-may-take-a-week-before-it-unblocks-some-pages	G07.1	misinformation	https://guacamole.univ-avignon.fr/dblp1/_search?q=Misinformation
G07	Misinformation runs rampant as Facebook says it may take a week before it unblocks some pages	https://www.theguardian.com/technology/2021/feb/19/misinformation-runs-rampant-as-facebook-says-it-may-take-a-week-before-it-unblocks-some-pages	G07.2	conspiracy theories	https://guacamole.univ-avignon.fr/dblp1/_search?q="conspiracy theories"
G08	Bitcoin's market value exceeds $1tn after price soars	https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000	G08.1	cryptocurrency	https://guacamole.univ-avignon.fr/dblp1/_search?q=Cryptocurrency
G08	Bitcoin's market value exceeds $1tn after price soars	https://www.theguardian.com/technology/2021/feb/19/bitcoins-market-value-exceeds-1tn-after-price-soars-to-above-54000	G08.2	financial markets	https://guacamole.univ-avignon.fr/dblp1/_search?q="Financial markets"
G09	Forensic Architecture: detail behind the devilry	https://www.theguardian.com/artanddesign/2018/feb/25/forensic-architects-eyal-weizman	G09.1	forensics	https://guacamole.univ-avignon.fr/dblp1/_search?q=forensics
G10	Robots on the rise as Americans experience record job losses amid pandemic	https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us	G10.1	humanoid robots	https://guacamole.univ-avignon.fr/dblp1/_search?q="Humanoid robots"
G10	Robots on the rise as Americans experience record job losses amid pandemic	https://www.theguardian.com/technology/2020/nov/27/robots-replacing-jobs-automation-unemployment-us	G10.2	disrupting	https://guacamole.univ-avignon.fr/dblp1/_search?q=disrupting
G11	UK wants new drones in wake of Azerbaijan military success	https://www.theguardian.com/world/2020/dec/29/uk-defence-secretary-hails-azerbaijans-use-of-drones-in-conflict	G11.1	drones	https://guacamole.univ-avignon.fr/dblp1/_search?q=drones
G12	Patient data from GP surgeries sold to US companies	https://www.theguardian.com/politics/2019/dec/07/nhs-medical-data-sales-american-pharma-lack-transparency	G12.1	patient data	https://guacamole.univ-avignon.fr/dblp1/_search?q="patient data"
G13	Baffled by digital marketing? Find your way out of the maze	https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content	G13.1	digital marketing	https://guacamole.univ-avignon.fr/dblp1/_search?q="digital marketing"
G13	Baffled by digital marketing? Find your way out of the maze	https://www.theguardian.com/small-business-network/2016/apr/22/baffled-digital-marketing-seo-content	G13.2	advertising	https://guacamole.univ-avignon.fr/dblp1/_search?q=advertising
G14	End-to-end encryption protects children says UK information watchdog	https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog	G14.1	online safety for children	https://guacamole.univ-avignon.fr/dblp1/_search?q="online safety for children"
G14	End-to-end encryption protects children says UK information watchdog	https://www.theguardian.com/technology/2022/jan/21/end-to-end-encryption-protects-children-says-uk-information-watchdog	G14.2	end to end encryption	https://guacamole.univ-avignon.fr/dblp1/_search?q="end to end encryption"
G15	What is GDPR and why does the UK want to reshape its data laws?	https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws	G15.1	Snowden	https://guacamole.univ-avignon.fr/dblp1/_search?q=Snowden
G15	What is GDPR and why does the UK want to reshape its data laws?	https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws	G15.2	cookies	https://guacamole.univ-avignon.fr/dblp1/_search?q=cookies
G15	What is GDPR and why does the UK want to reshape its data laws?	https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws	G15.3	GDPR	https://guacamole.univ-avignon.fr/dblp1/_search?q=GDPR
G15	What is GDPR and why does the UK want to reshape its data laws?	https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws	G15.4	ePrivacy	https://guacamole.univ-avignon.fr/dblp1/_search?q=ePrivacy
G16	Algorithms are more like puppies than monsters they want to please you	https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing	G16.1	algorithm	https://guacamole.univ-avignon.fr/dblp1/_search?q=algorithm
G16	Algorithms are more like puppies than monsters they want to please you	https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing	G16.2	NLP applications	https://guacamole.univ-avignon.fr/dblp1/_search?q="NLP applications"
G16	Algorithms are more like puppies than monsters they want to please you	https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing	G16.3	accountability	https://guacamole.univ-avignon.fr/dblp1/_search?q=accountability
G16	Algorithms are more like puppies than monsters they want to please you	https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing	G16.4	OpenNLP	https://guacamole.univ-avignon.fr/dblp1/_search?q=opennlp
G17	The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing	https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing	G17.1	quantum computing	https://guacamole.univ-avignon.fr/dblp1/_search?q="quantum computing"
G17	The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing	https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing	G17.2	qbit	https://guacamole.univ-avignon.fr/dblp1/_search?q=qubit
G17	The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing	https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing	G17.3	Jay Gambetta	https://guacamole.univ-avignon.fr/dblp1/_search?q="Jay Gambetta"
G17	The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing	https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing	G17.4	quantum applications	https://guacamole.univ-avignon.fr/dblp1/_search?q="quantum applications"
G18	New crowdsourced recruitment tool aims to get more women into tech	https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech	G18.1	Peer recomendations	https://guacamole.univ-avignon.fr/dblp1/_search?q="peer recommendations"
G18	New crowdsourced recruitment tool aims to get more women into tech	https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech	G18.2	Crowsourcing	https://guacamole.univ-avignon.fr/dblp1/_search?q=crowsourcing
G18	New crowdsourced recruitment tool aims to get more women into tech	https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech	G18.3	tech job search	https://guacamole.univ-avignon.fr/dblp1/_search?q="tech job search"
G18	New crowdsourced recruitment tool aims to get more women into tech	https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech	G18.4	=+women +computer -games	https://guacamole.univ-avignon.fr/dblp1/_search?q="+women +computer -games"
G19	International Space Station attacked by ‘virus epidemics’	Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware	G19.1	International Space Station Linux	https://guacamole.univ-avignon.fr/dblp1/_search?q="international space station Linux"
G19	International Space Station attacked by ‘virus epidemics’	Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware	G19.2	Kasperky Linux	https://guacamole.univ-avignon.fr/dblp1/_search?q=kaspersky
G19	International Space Station attacked by ‘virus epidemics’	Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware	G19.3	malicious password swiping malware	https://guacamole.univ-avignon.fr/dblp1/_search?q="malicious password swiping malware"
G20	Open data is a force for good but not without risks	https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks	G20.1	open data risk	https://guacamole.univ-avignon.fr/dblp1/_search?q="open data risk"
G20	Open data is a force for good but not without risks	https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks	G20.2	open data impact of policies	https://guacamole.univ-avignon.fr/dblp1/_search?q="open data impact of policies"
T01	Curve Light: A highly performing indoor positioning system	https://techxplore.com/news/2021-12-highly-indoor-positioning.html	T01.1	indoor positioning system	https://guacamole.univ-avignon.fr/dblp1/_search?q="indoor positioning system"
